Temperature(°),W12(um),W34(um),W58(um),W6(um),W7(um),Idc(uA),Length(um),Gain(db),Bandwidth(Hz),GBW(MHz),Power(uW),PM(degree),GM(dB),PSRR(dB),SlewRate (V/us),CMRR,Class
-40,16.5,30,18,30,30,130,0.18,53.4074,28833.6,57.5402,2179.4,55.1402,6.02488,49.5385,6.9467,61.362,0
-40,16.5,30,18,30,30,130,0.18,53.4115,28848.8,57.6534,2179.53,55.1007,6.01619,49.5427,6.9471,61.3659,0
-40,16.6,30,18,30,30,130,0.18,53.4156,28864,57.7659,2179.67,55.0614,6.00754,49.5469,6.9476,61.3697,0
-40,16.7,30,18,30,30,130,0.18,53.4196,28879.1,57.8779,2179.81,55.0222,5.99894,49.5511,6.948,61.3735,0
-40,16.7,30,18,30,30,130,0.18,53.4237,28894.1,57.9892,2179.94,54.9832,5.99038,49.5553,6.9484,61.3773,0
-40,16.8,30,18,30,30,130,0.18,53.4277,28909,58.1,2180.08,54.9443,5.98187,49.5594,6.9489,61.3811,0
-40,16.8,30,18,30,30,130,0.18,53.4317,28923.9,58.2102,2180.21,54.9056,5.9734,49.5635,6.9493,61.3849,0
-40,16.9,30,18,30,30,130,0.18,53.4356,28938.7,58.3198,2180.34,54.867,5.96498,49.5676,6.9497,61.3886,0
-40,16.9,30,18,30,30,130,0.18,53.4396,28953.4,58.4288,2180.48,54.8286,5.95661,49.5717,6.9502,61.3924,0
-40,17,30,18,30,30,130,0.18,53.4435,28968.1,58.5373,2180.61,54.7903,5.94828,49.5757,6.9506,61.3961,0
-40,17,30,18,30,30,130,0.18,53.4474,28982.6,58.6452,2180.74,54.7522,5.93999,49.5797,6.951,61.3997,0
-40,17.1,30,18,30,30,130,0.18,53.4513,28997.2,58.7525,2180.87,54.7142,5.93175,49.5837,6.9514,61.4034,0
-40,17.2,30,18,30,30,130,0.18,53.4552,29011.6,58.8592,2181.01,54.6764,5.92355,49.5877,6.9519,61.407,0
-40,17.2,30,18,30,30,130,0.18,53.459,29026,58.9657,2181.14,54.6386,5.91539,49.5916,6.9523,61.4107,0
-40,17.3,30,18,30,30,130,0.18,53.4628,29040.3,59.0717,2181.27,54.6011,5.90727,49.5956,6.9527,61.4143,0
-40,17.3,30,18,30,30,130,0.18,53.4666,29054.5,59.1771,2181.4,54.5637,5.8992,49.5995,6.9531,61.4179,0
-40,17.4,30,18,30,30,130,0.18,53.4704,29068.6,59.282,2181.52,54.5264,5.89117,49.6033,6.9536,61.4214,0
